01/21 06:32:31 PM | Epoch[0] (43776/50000):	Loss 0.2277	Accurary 92.60%		Time 16.12s
01/21 06:32:46 PM | Epoch[0] (48640/50000):	Loss 0.2215	Accurary 92.76%		Time 15.46s
01/21 06:32:46 PM | Epoch[0] (48640/50000):	Loss 0.2215	Accurary 92.76%		Time 15.46s
01/21 06:32:46 PM | Epoch[0] (48640/50000):	Loss 0.2215	Accurary 92.76%		Time 15.46s
01/21 06:32:54 PM | Test Loss 0.3747	Accurary 88.16%		Time 4.41s

01/21 06:32:54 PM | Test Loss 0.3747	Accurary 88.16%		Time 4.41s

01/21 06:32:54 PM | Test Loss 0.3747	Accurary 88.16%		Time 4.41s

01/21 06:33:20 PM | Epoch[1] (4864/50000):	Loss 0.1541	Accurary 94.98%		Time 25.99s
01/21 06:33:20 PM | Epoch[1] (4864/50000):	Loss 0.1541	Accurary 94.98%		Time 25.99s
01/21 06:33:20 PM | Epoch[1] (4864/50000):	Loss 0.1541	Accurary 94.98%		Time 25.99s
01/21 06:33:42 PM | Epoch[1] (9728/50000):	Loss 0.1548	Accurary 94.90%		Time 21.85s
01/21 06:33:42 PM | Epoch[1] (9728/50000):	Loss 0.1548	Accurary 94.90%		Time 21.85s
01/21 06:33:42 PM | Epoch[1] (9728/50000):	Loss 0.1548	Accurary 94.90%		Time 21.85s
01/21 06:34:04 PM | Epoch[1] (14592/50000):	Loss 0.1500	Accurary 95.08%		Time 21.64s
01/21 06:34:04 PM | Epoch[1] (14592/50000):	Loss 0.1500	Accurary 95.08%		Time 21.64s
01/21 06:34:04 PM | Epoch[1] (14592/50000):	Loss 0.1500	Accurary 95.08%		Time 21.64s
01/21 06:34:25 PM | Epoch[1] (19456/50000):	Loss 0.1521	Accurary 95.04%		Time 21.03s
01/21 06:34:25 PM | Epoch[1] (19456/50000):	Loss 0.1521	Accurary 95.04%		Time 21.03s
01/21 06:34:25 PM | Epoch[1] (19456/50000):	Loss 0.1521	Accurary 95.04%		Time 21.03s
01/21 06:34:46 PM | Epoch[1] (24320/50000):	Loss 0.1512	Accurary 95.06%		Time 21.06s
01/21 06:34:46 PM | Epoch[1] (24320/50000):	Loss 0.1512	Accurary 95.06%		Time 21.06s
01/21 06:34:46 PM | Epoch[1] (24320/50000):	Loss 0.1512	Accurary 95.06%		Time 21.06s
01/21 06:35:06 PM | Epoch[1] (29184/50000):	Loss 0.1529	Accurary 94.98%		Time 20.48s
01/21 06:35:06 PM | Epoch[1] (29184/50000):	Loss 0.1529	Accurary 94.98%		Time 20.48s
01/21 06:35:06 PM | Epoch[1] (29184/50000):	Loss 0.1529	Accurary 94.98%		Time 20.48s
01/21 06:35:25 PM | Epoch[1] (34048/50000):	Loss 0.1549	Accurary 94.90%		Time 19.06s
01/21 06:35:25 PM | Epoch[1] (34048/50000):	Loss 0.1549	Accurary 94.90%		Time 19.06s
01/21 06:35:25 PM | Epoch[1] (34048/50000):	Loss 0.1549	Accurary 94.90%		Time 19.06s
01/21 06:35:43 PM | Epoch[1] (38912/50000):	Loss 0.1574	Accurary 94.78%		Time 17.46s
01/21 06:35:43 PM | Epoch[1] (38912/50000):	Loss 0.1574	Accurary 94.78%		Time 17.46s
01/21 06:35:43 PM | Epoch[1] (38912/50000):	Loss 0.1574	Accurary 94.78%		Time 17.46s
01/21 06:36:00 PM | Epoch[1] (43776/50000):	Loss 0.1600	Accurary 94.69%		Time 17.64s
01/21 06:36:00 PM | Epoch[1] (43776/50000):	Loss 0.1600	Accurary 94.69%		Time 17.64s
01/21 06:36:00 PM | Epoch[1] (43776/50000):	Loss 0.1600	Accurary 94.69%		Time 17.64s
01/21 06:36:18 PM | Epoch[1] (48640/50000):	Loss 0.1620	Accurary 94.59%		Time 17.91s
01/21 06:36:18 PM | Epoch[1] (48640/50000):	Loss 0.1620	Accurary 94.59%		Time 17.91s
01/21 06:36:18 PM | Epoch[1] (48640/50000):	Loss 0.1620	Accurary 94.59%		Time 17.91s
01/21 06:36:27 PM | Test Loss 0.4711	Accurary 85.55%		Time 4.43s

01/21 06:36:27 PM | Test Loss 0.4711	Accurary 85.55%		Time 4.43s

01/21 06:36:27 PM | Test Loss 0.4711	Accurary 85.55%		Time 4.43s

01/21 06:36:27 PM | ############# model0:88.15999603271484 #################
01/21 06:36:27 PM | ############# model0:88.15999603271484 #################
01/21 06:36:27 PM | ############# model0:88.15999603271484 #################
01/21 06:39:03 PM | Epoch[0] (4864/50000):	Loss 0.4436	Accurary 86.43%		Time 24.78s
01/21 06:39:03 PM | Epoch[0] (4864/50000):	Loss 0.4436	Accurary 86.43%		Time 24.78s
01/21 06:39:03 PM | Epoch[0] (4864/50000):	Loss 0.4436	Accurary 86.43%		Time 24.78s
01/21 06:39:03 PM | Epoch[0] (4864/50000):	Loss 0.4436	Accurary 86.43%		Time 24.78s
01/21 06:39:03 PM | Epoch[0] (4864/50000):	Loss 0.4436	Accurary 86.43%		Time 24.78s
01/21 06:39:22 PM | Epoch[0] (9728/50000):	Loss 0.3625	Accurary 88.49%		Time 19.91s
01/21 06:39:22 PM | Epoch[0] (9728/50000):	Loss 0.3625	Accurary 88.49%		Time 19.91s
01/21 06:39:22 PM | Epoch[0] (9728/50000):	Loss 0.3625	Accurary 88.49%		Time 19.91s
01/21 06:39:22 PM | Epoch[0] (9728/50000):	Loss 0.3625	Accurary 88.49%		Time 19.91s
01/21 06:39:22 PM | Epoch[0] (9728/50000):	Loss 0.3625	Accurary 88.49%		Time 19.91s
01/21 06:39:42 PM | Epoch[0] (14592/50000):	Loss 0.3107	Accurary 90.10%		Time 20.03s
01/21 06:39:42 PM | Epoch[0] (14592/50000):	Loss 0.3107	Accurary 90.10%		Time 20.03s
